Lag - AC,Amplitude - AC
0,1
1,0.664793
2,0.0395057
3,-0.321392
4,-0.418623
5,-0.437387
6,-0.354533
7,-0.124043
8,0.0893925
9,0.126178
10,0.0697879
11,0.0629834
12,0.0700643
13,0.00584534
14,-0.0537998
15,-0.00411471
16,0.078647
17,0.0689588
18,0.0159551
19,0.0277612
20,0.0536198
21,-0.0112415
22,-0.106484
23,-0.0993073
24,-0.0171991
25,0.013318
26,-0.0036603
27,0.028176
28,0.0823702
29,0.0493754
30,-0.0455514
31,-0.0719385
32,-0.0219236
33,-0.00593948
34,-0.0321169
35,0.000150067
36,0.0832378
37,0.0904148
38,0.00406346
39,-0.0493465
40,-0.0269858
41,-0.026033
42,-0.0686087
43,-0.0478717
44,0.0536037
45,0.102736
46,0.0431855
47,-0.0130091
48,0.00070226
49,-0.0047732
50,-0.0729249
51,-0.0906957
52,-9.47756E-5
53,0.0748055
54,0.0445452
55,0.00581257
56,0.0368937
57,0.0431445
58,-0.0434461
59,-0.103818
60,-0.041798
61,0.0361951
62,0.0220851
63,-0.00212528
64,0.0490871
65,0.0800248
66,-0.000993396
67,-0.0870394
68,-0.0601115
69,0.00127793
70,-0.00960863
71,-0.0236583
72,0.0459122
73,0.106721
74,0.0484336
75,-0.0457133
76,-0.0502788
77,-0.015588
78,-0.041186
79,-0.0685133
80,-0.0015671
81,0.0872109
82,0.0742903
83,0.00304585
84,-0.0107709
85,0.00800696
86,-0.0311591
87,-0.0835707
88,-0.0437027
89,0.0479172
90,0.0669571
91,0.0210665
92,0.0126699
93,0.0336862
94,-0.00737992
95,-0.0851717
96,-0.0821374
97,-1.12844E-6
98,0.0430552
99,0.0233293
100,0.0306511
101,0.0711941
102,0.0464213
103,-0.0470271
104,-0.0874391
105,-0.0377763
106,-0.00012629
107,-0.0159305
108,0.000417555
109,0.0700721
110,0.0831203
111,0.00046667
112,-0.0613139
113,-0.0347674
114,-0.00907506
115,-0.0392108
116,-0.0350004
117,0.0492432
118,0.098843
119,0.0381214
120,-0.030743
121,-0.0205923
122,-0.00990674
123,-0.0631106
124,-0.0828034
125,0.00349981
126,0.0851048
127,0.0587537
128,0.00798445
129,0.0245999
130,0.0325727
131,-0.0440618
132,-0.103856
133,-0.0460956
134,0.0386965
135,0.0355725
136,0.00639824
137,0.0406197
138,0.0666654
139,-0.00434138
140,-0.086358
141,-0.0641622
142,0.00350786
143,0.00856802
144,-0.00632539
145,0.042844
146,0.0924903
147,0.0413531
148,-0.0513934
149,-0.0654611
150,-0.0258538
151,-0.0289613
152,-0.047313
153,0.00598477
154,0.086394
155,0.0800264
156,0.00576767
157,-0.0252614
158,-0.00938524
159,-0.030231
160,-0.0724914
161,-0.0414599
162,0.0466126
163,0.0749548
164,0.0269766
165,0.000371828
166,0.0156629
167,-0.00955781
168,-0.0765137
169,-0.0785515
170,0.00439214
171,0.0598082
172,0.0387763
173,0.024998
174,0.0528044
175,0.0356409
176,-0.052108
177,-0.0980311
178,-0.0442701
179,0.0123543
180,0.00461308
181,0.00800753
182,0.0666317
183,0.0830923
184,0.00082793
185,-0.0711879
186,-0.0460475
187,-0.00522068
188,-0.0255145
189,-0.0295342
190,0.0451316
191,0.0967247
192,0.0363658
193,-0.0429079
194,-0.0381905
195,-0.0147704
196,-0.0506101
197,-0.066914
198,0.0129091
199,0.0939144
200,0.0705302
201,0.00993411
202,0.00909034
203,0.0152439
204,-0.0485785
205,-0.104858
206,-0.0534063
207,0.0365338
208,0.0484777
209,0.0186082
210,0.0355515
211,0.0563366
212,-0.00165113
213,-0.0795133
214,-0.06757
215,0.00193503
216,0.0234266
217,0.0083528
218,0.0353697
219,0.0738778
220,0.033624
221,-0.0540242
222,-0.0768207
223,-0.0325489
224,-0.0129678
225,-0.0231293
226,0.0137007
227,0.0826443
228,0.0816361
229,0.00475283
230,-0.0429403
