Frequency [MHz] - FFT,Amplitude - FFT
0,0
5.37,0
10.75,0
16.12,0
21.49,0
26.87,0
32.24,0
37.62,0
42.99,0
48.36,0
53.74,0
59.11,0
64.48,0
69.86,0
75.23,0
80.61,0
85.98,0
91.35,0
96.73,0
102.1,0
107.47,0
112.85,0
118.22,0
123.6,0
128.97,0
134.34,0
139.72,0
145.09,0
150.46,0
155.84,0
161.21,0
166.59,0
171.96,0
177.33,0
182.71,0
188.08,0
193.45,0
198.83,0
204.2,0
209.57,0
214.95,0
220.32,0
225.7,0
231.07,0
236.44,0
241.82,0
247.19,0
252.56,0
257.94,0
263.31,0
268.69,0
274.06,0
279.43,0
284.81,0
290.18,0
295.55,0
300.93,0
306.3,0
311.68,0
317.05,0
322.42,0
327.8,0
333.17,0
338.54,0
343.92,0
349.29,0
354.67,0
360.04,0
365.41,0
370.79,0.1
376.16,0
381.53,0.1
386.91,0.1
392.28,0.1
397.66,0.1
403.03,0.1
408.4,0.1
413.78,0.2
419.15,0.2
424.52,0.2
429.9,0.2
435.27,0.3
440.64,0.3
446.02,0.3
451.39,0.4
456.77,0.4
462.14,0.4
467.51,0.5
472.89,0.5
478.26,0.6
483.63,0.6
489.01,0.6
494.38,0.7
499.76,0.8
505.13,0.8
510.5,0.9
515.88,0.9
521.25,1
526.62,1
532,1.1
537.37,1.1
542.75,1.2
548.12,1.3
553.49,1.4
558.87,1.5
564.24,1.5
569.61,1.6
574.99,1.6
580.36,1.7
585.74,1.7
591.11,1.8
596.48,1.9
601.86,2
607.23,2.1
612.6,2.2
617.98,2.3
623.35,2.4
628.72,2.4
634.1,2.4
639.47,2.5
644.85,2.6
650.22,2.7
655.59,2.8
660.97,2.9
666.34,3
671.71,3
677.09,3
682.46,3
687.84,3
693.21,3
698.58,3.1
703.96,3.2
709.33,3.2
714.7,3.3
720.08,3.3
725.45,3.3
730.83,3.3
736.2,3.3
741.57,3.3
746.95,3.3
752.32,3.3
757.69,3.3
763.07,3.7
768.44,5.3
773.82,5.7
779.19,4.3
784.56,3.5
789.94,3.5
795.31,3.5
800.68,3.5
806.06,3.5
811.43,3.7
816.81,3.7
822.18,3.8
827.55,3.9
832.93,3.9
838.3,3.9
843.67,3.9
849.05,3.9
854.42,3.9
859.79,4
865.17,4
870.54,4.1
875.92,4.2
881.29,4.2
886.66,4.3
892.04,4.3
897.41,4.2
902.78,4.1
908.16,4.1
913.53,4.1
918.91,4.2
924.28,4.3
929.65,4.3
935.03,4.4
940.4,4.4
945.77,4.3
951.15,4.3
956.52,4.3
961.9,4.2
967.27,4.3
972.64,4.3
978.02,4.3
983.39,4.4
988.76,4.4
994.14,4.3
999.51,4.3
1004.89,4.3
1010.26,4.2
1015.63,4.2
1021.01,4.2
1026.38,4.3
1031.75,4.3
1037.13,4.4
1042.5,4.4
1047.87,4.4
1053.25,4.3
1058.62,4.3
1064,4.3
1069.37,4.2
1074.74,4.2
1080.12,4.3
1085.49,4.3
1090.86,4.3
1096.24,4.4
1101.61,4.3
1106.99,4.3
1112.36,4.2
1117.73,4.2
1123.11,4.2
1128.48,4.2
1133.85,4.2
1139.23,4.3
1144.6,4.4
1149.98,4.3
1155.35,4.3
1160.72,4.3
1166.1,4.2
1171.47,4.2
1176.84,4.2
1182.22,4.2
1187.59,4.2
1192.97,4.4
1198.34,3.7
1203.71,15.4
1209.09,33.4
1214.46,22.9
1219.83,5.2
1225.21,3.8
1230.58,4.1
1235.96,3.9
1241.33,4
1246.7,4
1252.08,4
1257.45,4
1262.82,4
1268.2,3.9
1273.57,3.8
1278.94,3.8
1284.32,3.8
1289.69,3.7
1295.07,3.7
1300.44,3.7
1305.81,3.7
1311.19,3.7
1316.56,3.6
1321.93,3.6
1327.31,3.5
1332.68,3.5
1338.06,3.5
1343.43,3.5
1348.8,3.5
1354.18,3.4
1359.55,3.4
1364.92,3.4
1370.3,3.3
1375.67,3.3
1381.05,3.3
1386.42,3.2
1391.79,3.3
1397.17,3.3
1402.54,3.2
1407.91,3.3
1413.29,3.3
1418.66,3.2
1424.04,3.2
1429.41,3.2
1434.78,3.1
1440.16,3.1
1445.53,3.1
1450.9,3.1
1456.28,3.1
1461.65,3.1
1467.02,3.1
1472.4,3.1
1477.77,3
1483.15,2.9
1488.52,2.9
1493.89,2.8
1499.27,2.8
1504.64,2.8
1510.01,2.8
1515.39,2.7
1520.76,2.7
1526.14,2.6
1531.51,2.6
1536.88,2.5
1542.26,2.4
1547.63,2.4
1553,2.4
1558.38,2.3
1563.75,2.3
1569.13,2.3
1574.5,2.3
1579.87,2.3
1585.25,2.2
1590.62,2.2
1595.99,2.2
1601.37,2.1
1606.74,2.1
1612.12,2.1
1617.49,2.2
1622.86,2.1
1628.24,2.1
1633.61,2.1
1638.98,2.1
1644.36,2.1
1649.73,2
1655.11,2
1660.48,2
1665.85,2
1671.23,2
1676.6,2
1681.97,2
1687.35,1.9
1692.72,1.9
1698.09,1.8
1703.47,1.8
1708.84,1.8
1714.22,1.8
1719.59,1.7
1724.96,1.7
1730.34,1.7
1735.71,1.7
1741.08,1.7
1746.46,1.6
1751.83,1.6
1757.21,1.5
1762.58,1.5
1767.95,1.5
1773.33,1.5
1778.7,1.4
1784.07,1.4
1789.45,1.4
1794.82,1.4
1800.2,1.3
1805.57,1.3
1810.94,1.3
1816.32,1.3
1821.69,1.3
1827.06,1.2
1832.44,1.2
1837.81,1.2
1843.19,1.2
1848.56,1.2
1853.93,1.1
1859.31,1.1
1864.68,1.1
1870.05,1.1
1875.43,1.1
1880.8,1.1
1886.17,1.1
1891.55,1
1896.92,1.1
1902.3,1.1
1907.67,1
1913.04,1
1918.42,1
1923.79,1
1929.16,1
1934.54,1
1939.91,1
1945.29,1
1950.66,1
1956.03,1
1961.41,1
1966.78,1
1972.15,1
1977.53,1
1982.9,1
1988.28,1
1993.65,1
1999.02,1
2004.4,1
2009.77,1
2015.14,1
2020.52,1
2025.89,1
2031.27,0.9
2036.64,0.9
2042.01,0.9
2047.39,0.9
2052.76,0.9
2058.13,0.9
2063.51,0.9
2068.88,0.9
2074.26,0.9
2079.63,0.9
2085,0.9
2090.38,0.9
2095.75,0.9
2101.12,0.9
2106.5,0.9
2111.87,0.9
2117.24,1.1
2122.62,1.1
2127.99,0.9
2133.37,0.9
2138.74,0.9
2144.11,0.8
2149.49,0.9
2154.86,0.9
2160.23,0.8
2165.61,0.9
2170.98,0.9
2176.36,0.8
2181.73,0.9
2187.1,0.8
2192.48,0.8
2197.85,0.8
2203.22,0.8
2208.6,0.8
2213.97,0.8
2219.35,0.8
2224.72,0.8
2230.09,0.8
2235.47,0.8
2240.84,0.8
